Timestamp,X,Y,Z
2024-08-15T13:10:56.979545,-0.01,-0.04,1.01
2024-08-15T13:11:01.981802,-0.01,-0.04,1.01
2024-08-15T13:11:06.983914,-0.01,-0.04,1.01
2024-08-15T13:11:11.986077,-0.01,-0.04,1.01
2024-08-15T13:11:16.987534,-0.01,-0.04,1.01
2024-08-15T13:11:21.990351,-0.01,-0.04,1.01
2024-08-15T13:11:26.992463,-0.01,-0.04,1.01
2024-08-15T13:11:31.993324,-0.01,-0.04,1.01
2024-08-15T13:11:36.996809,-0.01,-0.04,1.01
2024-08-15T13:11:41.998755,-0.01,-0.04,1.01
2024-08-15T13:11:47.001002,-0.01,-0.04,1.01
2024-08-15T13:11:52.003062,-0.01,-0.04,1.01
2024-08-15T13:11:57.005126,-0.01,-0.04,1.01
2024-08-15T13:12:02.006252,-0.01,-0.04,1.01
2024-08-15T13:12:07.009243,-0.01,-0.04,1.01
2024-08-15T13:12:12.011561,-0.01,-0.04,1.01
2024-08-15T13:12:17.013775,-0.01,-0.04,1.01
2024-08-15T13:12:22.015935,-0.01,-0.04,1.01
2024-08-15T13:12:27.018128,-0.01,-0.04,1.01
2024-08-15T13:12:32.018896,-0.01,-0.04,1.01
2024-08-15T13:12:37.021500,-0.01,-0.04,1.01
2024-08-15T13:12:42.024498,-0.01,-0.04,1.01
2024-08-15T13:12:47.026804,-0.01,-0.04,1.01
2024-08-15T13:12:52.027043,-0.01,-0.04,1.01
2024-08-15T13:12:57.030860,-0.01,-0.04,1.01
2024-08-15T13:13:02.032987,-0.01,-0.04,1.01
2024-08-15T13:13:07.035119,-0.01,-0.04,1.01
2024-08-15T13:13:12.037392,-0.01,-0.04,1.01
2024-08-15T13:13:17.039321,-0.01,-0.04,1.01
2024-08-15T13:13:22.041408,-0.01,-0.04,1.01
2024-08-15T13:13:27.043550,-0.01,-0.04,1.01
2024-08-15T13:13:32.045712,-0.01,-0.04,1.01
2024-08-15T13:13:37.048151,-0.01,-0.04,1.01
2024-08-15T13:13:42.049654,-0.01,-0.04,1.01
2024-08-15T13:13:47.052047,-0.01,-0.04,1.01
2024-08-15T13:13:52.054169,-0.01,-0.04,1.01
2024-08-15T13:13:57.055111,-0.01,-0.04,1.01
2024-08-15T13:14:02.058590,-0.01,-0.04,1.01
2024-08-15T13:14:07.060446,-0.01,-0.04,1.01
2024-08-15T13:14:12.061095,-0.01,-0.04,1.01
2024-08-15T13:14:17.064742,-0.01,-0.04,1.01
2024-08-15T13:14:22.067310,-0.01,-0.04,1.01
2024-08-15T13:14:27.068839,-0.01,-0.04,1.01
2024-08-15T13:14:32.070973,-0.01,-0.04,1.01
2024-08-15T13:14:37.073521,-0.01,-0.04,1.01
2024-08-15T13:14:42.075322,-0.01,-0.04,1.01
2024-08-15T13:14:47.076994,-0.01,-0.04,1.01
2024-08-15T13:14:52.079418,-0.01,-0.04,1.01
2024-08-15T13:14:57.081703,-0.01,-0.04,1.01
2024-08-15T13:15:02.083827,-0.01,-0.04,1.01
2024-08-15T13:15:07.085942,-0.01,-0.04,1.01
2024-08-15T13:15:12.088475,-0.01,-0.04,1.01
2024-08-15T13:15:17.088627,-0.01,-0.04,1.01
2024-08-15T13:15:22.092308,-0.01,-0.04,1.01
2024-08-15T13:15:27.094441,-0.01,-0.04,1.01
2024-08-15T13:15:32.095158,-0.01,-0.04,1.01
2024-08-15T13:15:37.097662,-0.01,-0.04,1.01
2024-08-15T13:15:42.100779,-0.01,-0.04,1.01
2024-08-15T13:15:47.102899,-0.01,-0.04,1.01
2024-08-15T13:15:52.104883,-0.01,-0.04,1.01
2024-08-15T13:15:57.107364,-0.01,-0.04,1.01
2024-08-15T13:16:02.109081,-0.01,-0.04,1.01
2024-08-15T13:16:07.110946,-0.01,-0.04,1.01
2024-08-15T13:16:12.113859,-0.01,-0.04,1.01
2024-08-15T13:16:17.115722,-0.01,-0.04,1.01
2024-08-15T13:16:22.117978,-0.01,-0.04,1.01
2024-08-15T13:16:27.119970,-0.01,-0.04,1.01
2024-08-15T13:16:32.122104,-0.01,-0.04,1.01
2024-08-15T13:16:37.123148,-0.01,-0.04,1.01
2024-08-15T13:16:42.126884,-0.01,-0.04,1.01
2024-08-15T13:16:47.128518,-0.01,-0.04,1.01
2024-08-15T13:16:52.129106,-0.01,-0.04,1.01
2024-08-15T13:16:57.132419,-0.01,-0.04,1.01
2024-08-15T13:17:02.134777,-0.01,-0.04,1.01
2024-08-15T13:17:07.137165,-0.01,-0.04,1.01
2024-08-15T13:17:12.138959,-0.01,-0.04,1.01
2024-08-15T13:17:17.141458,-0.01,-0.04,1.01
2024-08-15T13:17:22.142752,-0.01,-0.04,1.01
2024-08-15T13:17:27.145366,-0.01,-0.04,1.01
2024-08-15T13:17:32.147044,-0.01,-0.04,1.01
2024-08-15T13:17:37.149378,-0.01,-0.05,1.02
2024-08-15T13:17:42.151690,-0.01,-0.05,1.01
2024-08-15T13:17:47.154385,-0.01,-0.05,1.01
2024-08-15T13:17:52.155852,-0.02,-0.05,1.01
2024-08-15T13:17:57.156577,-0.02,-0.05,1.01
2024-08-15T13:18:02.160477,-0.02,-0.05,1.01
2024-08-15T13:18:07.162355,-0.02,-0.05,1.01
2024-08-15T13:18:12.163702,-0.02,-0.05,1.01
2024-08-15T13:18:17.167138,-0.01,-0.05,1.01
2024-08-15T13:18:22.168176,-0.02,-0.05,1.01
2024-08-15T13:18:27.170757,-0.02,-0.05,1.01
2024-08-15T13:18:32.173201,-0.02,-0.05,1.01
2024-08-15T13:18:37.175167,-0.02,-0.05,1.01
2024-08-15T13:18:42.177892,-0.02,-0.05,1.01
2024-08-15T13:18:47.179299,-0.02,-0.05,1.01
2024-08-15T13:18:52.180570,-0.02,-0.05,1.01
2024-08-15T13:18:57.182597,-0.02,-0.05,1.01
2024-08-15T13:19:02.184971,-0.02,-0.05,1.01
2024-08-15T13:19:07.188354,-0.02,-0.05,1.01
2024-08-15T13:19:12.190220,-0.02,-0.05,1.01
2024-08-15T13:19:17.190728,-0.02,-0.05,1.01
2024-08-15T13:19:22.194524,-0.02,-0.05,1.01
2024-08-15T13:19:27.197230,-0.02,-0.05,1.01
2024-08-15T13:19:32.197896,-0.01,-0.05,1.01
2024-08-15T13:19:37.200988,-0.02,-0.05,1.01
2024-08-15T13:19:42.203159,-0.02,-0.05,1.01
2024-08-15T13:19:47.205270,-0.02,-0.05,1.01
2024-08-15T13:19:52.206481,-0.02,-0.05,1.01
2024-08-15T13:19:57.208428,-0.02,-0.05,1.01
2024-08-15T13:20:02.210578,-0.02,-0.05,1.01
2024-08-15T13:20:07.213605,-0.02,-0.05,1.01
2024-08-15T13:20:12.215873,-0.02,-0.05,1.01
2024-08-15T13:20:17.217182,-0.02,-0.05,1.01
2024-08-15T13:20:22.220115,-0.02,-0.05,1.01
2024-08-15T13:20:27.222366,-0.02,-0.05,1.01
2024-08-15T13:20:32.224292,-0.02,-0.05,1.01
2024-08-15T13:20:37.225051,-0.02,-0.05,1.01
2024-08-15T13:20:42.228624,-0.02,-0.05,1.01
2024-08-15T13:20:47.230789,-0.02,-0.05,1.01
2024-08-15T13:20:52.231456,-0.01,-0.05,1.01
2024-08-15T13:20:57.235107,-0.01,-0.05,1.01
2024-08-15T13:21:02.238031,-0.02,-0.05,1.01
2024-08-15T13:21:07.239738,-0.01,-0.05,1.01
2024-08-15T13:21:12.240112,-0.02,-0.05,1.01
2024-08-15T13:21:17.243704,-0.01,-0.05,1.01
2024-08-15T13:21:22.245779,-0.01,-0.05,1.01
2024-08-15T13:21:27.248127,-0.02,-0.05,1.01
2024-08-15T13:21:32.250271,-0.02,-0.05,1.01
2024-08-15T13:21:37.252098,-0.02,-0.05,1.01
2024-08-15T13:21:42.254277,-0.02,-0.05,1.01
2024-08-15T13:21:47.256580,-0.02,-0.05,1.01
2024-08-15T13:21:52.258113,-0.01,-0.05,1.01
2024-08-15T13:21:57.259141,-0.02,-0.05,1.01
2024-08-15T13:22:02.262957,-0.02,-0.05,1.01
2024-08-15T13:22:07.264915,-0.02,-0.05,1.01
2024-08-15T13:22:12.265817,-0.02,-0.05,1.01
2024-08-15T13:22:17.269254,-0.02,-0.05,1.01
2024-08-15T13:22:22.271373,-0.02,-0.05,1.01
2024-08-15T13:22:27.273546,-0.02,-0.05,1.01
2024-08-15T13:22:32.275654,-0.01,-0.05,1.01
2024-08-15T13:22:37.277355,-0.31,-0.09,0.99
